source,model,dataset_group,dataset,task,metric_name,metric_value,lower_is_better
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DIESEL,DIESEL_bp50_246_b-a,regression,RMSEP,3.239244160160364,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DIESEL,DIESEL_bp50_246_hla-b,regression,RMSEP,2.9077582863960063,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DIESEL,DIESEL_bp50_246_hlb-a,regression,RMSEP,3.633589008056778,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MALARIA,Malaria_Sporozoite_229_Maia,regression,RMSEP,33975.9118754933,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PHOSPHORUS,V25_spxyG,regression,RMSEP,0.3367127982919053,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PHOSPHORUS,LP_spxyG,regression,RMSEP,0.1713549158271547,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PHOSPHORUS,Pi_spxyG,regression,RMSEP,0.1888011334684481,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PHOSPHORUS,NP_spxyG,regression,RMSEP,0.1289802217081461,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PHOSPHORUS,MP_spxyG,regression,RMSEP,0.0190535904663278,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MILK,Milk_Fat_1224_KS,regression,RMSEP,0.1146181064322986,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,AMYLOSE,Rice_Amylose_313_YbasedSplit,regression,RMSEP,1.9241251253080027,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,TABLET,Escitalopramt_310_Zhao,regression,RMSEP,0.438051326088879,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,QUARTZ,Quartz_spxy70,regression,RMSEP,3.3915181591560317e-09,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,WOOD_density,WOOD_Density_402_Olale,regression,RMSEP,0.1394279892393135,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,WOOD_density,WOOD_N_402_Olale,regression,RMSEP,0.0504026274187659,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MALARIA,Malaria_Oocist_333_Maia,regression,RMSEP,8634.838632348146,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,ALPINE,ALPINE_P_291_KS,regression,RMSEP,0.0635305930443534,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DarkResp,Rd25_GTtestSite,regression,RMSEP,0.2644360224609102,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DarkResp,Rd25_XSBNtestSite,regression,RMSEP,0.2648639348411965,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DarkResp,Rd25_CBtestSite,regression,RMSEP,0.2573186781052314,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,DarkResp,Rd25_spxy70,regression,RMSEP,0.1843451623439338,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MANURE21,All_manure_CaO_SPXY_strat_Manure_type,regression,RMSEP,7.741062906971687,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,regression,RMSEP,1.7198583470504396,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MANURE21,All_manure_K2O_SPXY_strat_Manure_type,regression,RMSEP,2.5539229527549083,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MANURE21,All_manure_MgO_SPXY_strat_Manure_type,regression,RMSEP,0.7268158855373635,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,regression,RMSEP,2.7177027342932907,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,FUSARIUM,Fv_Fm_grp70_30,regression,RMSEP,0.0332840125826156,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINES,grapevine_chloride_556_KS,regression,RMSEP,976.996286403054,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BEEFMARBLING,Beef_Marbling_RandomSplit,regression,RMSEP,72.7827852830316,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MILK,Milk_Lactose_1224_KS,regression,RMSEP,0.0570604247067402,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,MILK,Milk_Urea_1224_KS,regression,RMSEP,4.181714113729996,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BERRY,ph_groupSampleID_stratDateVar_balRows,regression,RMSEP,0.3513128408267448,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BERRY,ta_groupSampleID_stratDateVar_balRows,regression,RMSEP,1.870756941109064,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,ECOSIS_LeafTraits,Ccar_spxyG_block2deg,regression,RMSEP,62.977759603079214,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,regression,RMSEP,0.3084632160174452,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,regression,RMSEP,0.4678338726154714,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,COLZA,N_woOutlier,regression,RMSEP,0.3395545584668529,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,COLZA,C_woOutlier,regression,RMSEP,2.3171489513834542,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,COLZA,N_wOutlier,regression,RMSEP,0.3490607413193846,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BERRY,brix_groupSampleID_stratDateVar_balRows,regression,RMSEP,3.9660707429302704,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,regression,RMSEP,45.72806905489868,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,ECOSIS_LeafTraits,Chla+b_spxyG_species,regression,RMSEP,50.77031815820983,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,regression,RMSEP,4.916851604393122,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PLUMS,Firmness_spxy70,regression,RMSEP,0.4320036360381859,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PEACH,Brix_spxy70,regression,RMSEP,2.0181761646620657,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BEER,Beer_OriginalExtract_60_KS,regression,RMSEP,0.4250908780011068,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BEER,Beer_OriginalExtract_60_YbaseSplit,regression,RMSEP,0.9473565532735878,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BISCUIT,Biscuit_Sucrose_40_RandomSplit,regression,RMSEP,1.194712443409029,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BISCUIT,Biscuit_Fat_40_RandomSplit,regression,RMSEP,0.5490983541729932,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,IncombustibleMaterial,TIC_spxy70,regression,RMSEP,2.950062010529332,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,regression,RMSEP,0.0265166017645969,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,regression,RMSEP,0.1388250484925488,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,RMSEP,1.7609425297162018,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,regression,RMSEP,3.904052294157028,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,RMSEP,3.968067027375122,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,regression,RMSEP,3.6907866055943135,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,regression,RMSEP,5.117988787348381,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DIESEL,DIESEL_bp50_246_b-a,regression,RMSEP,3.174703293794276,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DIESEL,DIESEL_bp50_246_hla-b,regression,RMSEP,2.926505684604138,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DIESEL,DIESEL_bp50_246_hlb-a,regression,RMSEP,3.018745524649935,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MALARIA,Malaria_Sporozoite_229_Maia,regression,RMSEP,34317.06383479275,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PHOSPHORUS,V25_spxyG,regression,RMSEP,0.372383928622764,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PHOSPHORUS,LP_spxyG,regression,RMSEP,0.1728182123039681,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PHOSPHORUS,Pi_spxyG,regression,RMSEP,0.1892153843924935,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PHOSPHORUS,NP_spxyG,regression,RMSEP,0.1116231406552717,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,PHOSPHORUS,MP_spxyG,regression,RMSEP,0.0190535904663278,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MILK,Milk_Fat_1224_KS,regression,RMSEP,0.1102797481836828,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,AMYLOSE,Rice_Amylose_313_YbasedSplit,regression,RMSEP,2.2707582738064915,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,TABLET,Escitalopramt_310_Zhao,regression,RMSEP,0.3759896391020082,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,QUARTZ,Quartz_spxy70,regression,RMSEP,3.3915181591560317e-09,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,WOOD_density,WOOD_Density_402_Olale,regression,RMSEP,0.1286974223068357,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,WOOD_density,WOOD_N_402_Olale,regression,RMSEP,0.0501890249981298,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MALARIA,Malaria_Oocist_333_Maia,regression,RMSEP,8634.838632348137,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,ALPINE,ALPINE_P_291_KS,regression,RMSEP,0.0602139375074288,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DarkResp,Rd25_GTtestSite,regression,RMSEP,0.2038005769093663,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DarkResp,Rd25_XSBNtestSite,regression,RMSEP,0.2706237199661699,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DarkResp,Rd25_CBtestSite,regression,RMSEP,0.267069303165675,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,DarkResp,Rd25_spxy70,regression,RMSEP,0.1830246266464244,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MANURE21,All_manure_CaO_SPXY_strat_Manure_type,regression,RMSEP,7.72034597558796,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,regression,RMSEP,1.7313050242229395,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MANURE21,All_manure_K2O_SPXY_strat_Manure_type,regression,RMSEP,2.608539791796668,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MANURE21,All_manure_MgO_SPXY_strat_Manure_type,regression,RMSEP,0.7946789148284525,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,regression,RMSEP,2.7062747301994072,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,FUSARIUM,Fv_Fm_grp70_30,regression,RMSEP,0.0337650987839693,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,GRAPEVINES,grapevine_chloride_556_KS,regression,RMSEP,977.5131269359118,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BEEFMARBLING,Beef_Marbling_RandomSplit,regression,RMSEP,72.7827852830316,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MILK,Milk_Lactose_1224_KS,regression,RMSEP,0.0568684909881534,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,MILK,Milk_Urea_1224_KS,regression,RMSEP,4.181714113729996,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BERRY,ph_groupSampleID_stratDateVar_balRows,regression,RMSEP,0.3448134019201602,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,BERRY,ta_groupSampleID_stratDateVar_balRows,regression,RMSEP,2.252388959089023,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-compact-simpls-covariance-numpy,ECOSIS_LeafTraits,Ccar_spxyG_block2deg,regression,RMSEP,62.98913243310822,True
