dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,GRAPEVINE_LeafTraits,Concat-SNV-FCK-AOMPLS,77,35,276,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188,1.787942024636682,1.7864439261499914,1.4654540720419815,OK,,1.594208379320995,1.5202652539592236,0.0019820280140265,-0.1398845551662566,-0.0006064106134853,0.0577286997743984,0.0747851390783373,-0.1083556640238683,-0.1076079377667835,0.0878596673450198
brix_groupSampleID_stratDateVar_balRows,BERRY,PLS-baseline,1434,699,2101,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779,3.177753022430552,3.3154128982840474,,OK,,4.652023427105561,0.3622090630233288,0.0054670580429956,0.2799615896367815,0.3313930650837378,0.4669804947580389,0.6304727192691622,0.4639348603458777,0.4031505486129045,
brix_groupSampleID_stratDateVar_balRows,BERRY,FCK-PLS,1434,699,2101,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779,3.177753022430552,3.3154128982840474,,OK,,3.734116640739051,2.778316814918071,0.3805621810024604,0.0274079540358813,0.0686913076847974,0.1775255139942138,0.3087585238327466,0.1750808242117429,0.1262900746605983,
brix_groupSampleID_stratDateVar_balRows,BERRY,FCK-Ridge,1434,699,2101,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779,3.177753022430552,3.3154128982840474,,OK,,4.173916338544317,1.2789918560301885,0.3027140690246597,0.1484148081812508,0.1945604648072876,0.3162130310263942,0.4629025045006316,0.3134804086668241,0.2589431442173022,
brix_groupSampleID_stratDateVar_balRows,BERRY,FCK-AOMPLS,1434,699,2101,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779,3.177753022430552,3.3154128982840474,,OK,,4.619138271365464,180.5431365519762,0.4214562230044976,0.2709135405725194,0.3219814468959494,0.4566104089676888,0.6189469068687488,0.4535863041465842,0.3932316767411332,
brix_groupSampleID_stratDateVar_balRows,BERRY,ASLS-FCK-PLS,1434,699,2101,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779,3.177753022430552,3.3154128982840474,,OK,,3.949904398695204,3.9214094729395583,0.9684286100091412,0.0867799769901087,0.1304490199952757,0.2455725556502792,0.3843892806448792,0.2429865917251366,0.1913763141657405,
brix_groupSampleID_stratDateVar_balRows,BERRY,Concat-SNV-FCK-AOMPLS,1434,699,2101,3.63450236692312,3.494102191987137,3.17115561094959,2.853174648141779,3.177753022430552,3.3154128982840474,,OK,,4.59485272948828,185.38555568491572,0.4923413940705359,0.2642315964092132,0.31503100854504,0.4489521465370061,0.6104351454548442,0.4459439412235497,0.3859066337910521,
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.7839191459868,0.0132540280465036,0.0004818110028281,0.1791676417360856,0.1887670478668663,0.0389725694180551,0.0472374835186175,-0.0197462167989177,-0.067879101283675,0.1945974240798755
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,FCK-PLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,3.4403805193404486,0.4712951619876548,0.0301715499954298,0.4572209791055051,0.4690839708512186,0.2839672420471644,0.2941810621958518,0.211402286807208,0.151919439268428,0.4762891775011957
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,FCK-Ridge,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,3.139969055976656,0.1061412410344928,0.0289566140854731,0.3299775290520712,0.3408046531982072,0.1718521792143743,0.1811741361984633,0.1056235417945008,0.0513346921794144,0.3473807065724377
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,FCK-AOMPLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.6110976842805123,32.240664434968494,0.0292285929899662,0.1059667099721883,0.1149701995867062,-0.0255252657214489,-0.01777342490385,-0.0805988790970104,-0.1257437474014893,0.120438634921913
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,ASLS-FCK-PLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,3.8438177444738217,0.633422257960774,0.1034706899663433,0.6281024222806244,0.6413565312137437,0.4345320352093358,0.4459435819570529,0.3534577293265184,0.2869996083204078,0.6494066585232345
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,Concat-SNV-FCK-AOMPLS,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.82514837275894,33.801968299085274,0.0558476350270211,0.1966308536880527,0.2063724249003209,0.0543595233589844,0.0627468390092453,-0.0052288750937511,-0.0540745969511312,0.2122891476954136
