database_name,dataset,AOM-PLS PLS-standard,AOM-PLS-best,AOM-Ridge-best,nicon_v2 Stack-Ridge-PLS-V1c,nicon_v2 V1c-concat-bjerrum (CNN-only),nicon_v2 internal PLS,nicon_v2 internal Ridge,paper CNN,paper Catboost,paper PLS,paper Ridge,paper TabPFN-Raw,paper TabPFN-opt
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,0.7946789148284632,0.7168578848596966,0.7376199328405435,0.7991144227286909,1.8008207248208363,0.8265656267643967,0.7938370665782785,1.0005233617630638,0.8518912219363179,0.7826806868853714,0.7736696013360851,0.7834426914589188,0.7508986236686556
MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,2.3882032646623186,2.318901754061266,2.453663163059657,2.551125360548417,5.936989667839514,2.6174293769170585,2.541650508032772,3.074293528724575,2.5134006603653662,2.3003293127604723,2.54687928995717,2.3950313126089853,2.2951036862227383
MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,1.7433441566374508,1.5485802707770282,1.6620922165015766,1.717004422091542,3.651360892664242,1.7989955864482714,1.713562194109489,1.8247846564270245,1.6932689102057146,1.7584969529696053,1.7064692893113451,1.7949795973712188,1.5941884695680253
MILK,Milk_Fat_1224_KS,0.1011945659801014,0.0777117948384832,0.0788152047749506,0.115918605175969,0.4017249758716735,0.1259674974885449,0.1173682272871402,0.1118968202312703,0.1076072499263633,0.0847539240564736,0.0862480620031288,0.1506755133776697,0.0804810781126017
MILK,Milk_Lactose_1224_KS,0.0588361629987956,0.0560960597112178,,,,,,0.0558433627940406,0.0734632749827081,0.0554576865613542,0.0542675268453658,0.1236079699096345,0.0476799677937258
MILK,Milk_Urea_1224_KS,4.410214962452098,4.181714113729996,,,,,,4.270099109768146,4.123773577115815,4.161019323655071,4.191121229855326,4.332178844974017,3.9276846609334144
PEACH,Brix_spxy70,1.7103507371910391,0.877210263357179,,,,,,,,,,0.7698634434844062,0.3967094148765152
PHOSPHORUS,LP_spxyG,0.1911881161616511,0.1547081398747242,0.1614630337941708,0.1808302592830508,0.1978478009822163,0.2015436001247579,0.173916969424821,0.1877679220994396,0.1775681231587723,0.1820014727143898,0.1715412566684358,0.1657184972518241,0.1831265619196814
PHOSPHORUS,MP_spxyG,0.0227976081058835,0.0189163724938811,0.0197249834205496,0.0203481603514868,0.0217646217932401,0.0212033895694147,0.0211954277267353,0.0197390386259831,0.0192216436712246,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399
PHOSPHORUS,NP_spxyG,0.1057804599657981,0.1002366942742503,0.0999438753777915,0.1034282773691976,0.1526320845647965,0.1113798682988777,0.1083786873975503,0.1308428302701117,0.1046577279583968,0.1024775858943483,0.1187254415977093,0.1231536913775641,0.115737934160017
PHOSPHORUS,Pi_spxyG,0.1812838891242657,0.1494523370193925,0.1695234912372954,0.1670836491445278,0.1765997857143096,0.177888453127573,0.1705701630538979,0.2161549115938909,0.1640914842706666,0.1934192007908236,0.1783382503206829,0.157162626181273,0.1803016262304163
PHOSPHORUS,V25_spxyG,0.3655739401903101,0.1979847607561064,0.2862165535330741,0.3282036942058026,0.2814841751077923,0.3158432975679602,0.3410150947027927,0.2429051266219819,0.3245479917041954,0.3043669902243574,0.3055656869296078,0.2632008951654764,0.2926425800034379
PLUMS,Firmness_spxy70,0.2967790298425745,0.2069377013884682,0.2115866017821452,,0.2698793643791281,,0.3242410301857444,,0.2918197830454076,0.4653151011794641,0.2577670813995798,0.2609965718246939,0.2572658569578188
QUARTZ,Quartz_spxy70,3.3987655165869764e-09,3.3915181591560317e-09,3.358794849628444e-09,7.869224235692511e-05,0.0341932671849135,2.28559295460361e-07,1.3276623410842678e-06,0.0109287547359119,0.0069035822134068,3.3987655009200003e-09,3.3977579071917587e-09,0.0005494316147727,0.0004709108899428
TABLET,Escitalopramt_310_Zhao,0.3993313416988594,0.3232798782595188,0.3676580405487562,0.395497770703811,1.332433061361562,0.4031967428165416,0.3824168104109974,0.3195409959979831,0.3107165334629424,0.337655637335533,0.3791222563597828,0.8433432586902941,0.3284213500881314
WOOD_density,WOOD_Density_402_Olale,0.1366613113691301,0.1284242524557362,0.1270233566045069,0.1299455324579099,0.1653021517495661,0.1278001273278285,0.1263321348175602,0.1349870752928403,0.126721308075477,0.1283914545581485,0.1278871119669721,0.1273425697680852,0.1216669909436602
WOOD_density,WOOD_N_402_Olale,0.0502242639342961,0.0479331532005323,0.0484009753974356,0.049470309448432,0.0656845898240112,0.050728133260612,0.0484491488896467,0.0648556609480335,0.0509146784257037,0.050733292038705,0.0491404173686128,0.048441743675388,0.0472945910950756
